submission_id,age,itemName,category,answer,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type
80,49,touristInfo-childTheatre,competitor,No I'm sorry there isn't.  There is a circus on though.   Would you like the details?,,main,Graduated College,1022613,1667217900813,1667216878200,female,,91713,touristInfo,1,main
80,49,electronics-laptop,competitor,No I'm sorry.   We do have a MacBook Air if you would like to look at that. ,,main,Graduated College,1022613,1667217900813,1667216878200,female,,91031,electronics,2,main
80,49,waterSport-motor,fullList,"No I'm sorry.   We have small sail boats, speedboats, pedal boats, water ski equipment mnd kayaks if you bare interested. ",,main,Graduated College,1022613,1667217900813,1667216878200,female,,157419,waterSport,3,main
80,49,disney-action,fullList,"No sorry.  Superman isnt available today...but you can see Spiderman, Ariel, Princess Elsa, Batman and the Hulk.",,main,Graduated College,1022613,1667217900813,1667216878200,female,,99278,disney,4,main
80,49,zoo-xl,competitor,There isn't a tiger in this zoo...but we can go and see the lion !!,,main,Graduated College,1022613,1667217900813,1667216878200,female,,73905,zoo,5,main
80,49,carRental-fun,,motorcycle,,motorcycle,Graduated College,1022613,1667217900813,1667216878200,female,,33685,carRental,6,filler
80,49,gym-yoga,competitor,No we don't do yoga classes. ..we do offer pirates classes though. ,,main,Graduated College,1022613,1667217900813,1667216878200,female,,39642,gymActivities,7,main
80,49,art-painting,,sculpture,,sculpture,Graduated College,1022613,1667217900813,1667216878200,female,,98031,art,8,filler
80,49,friendsActivities-boardGames,other,No I haven't got clue bit I've got lots of other games...have a look and see which ones you like ,,main,Graduated College,1022613,1667217900813,1667216878200,female,,51138,friendsActivities,9,main
80,49,kidsActivities-crafts,fullList,"No there isn't.  We have got lot of other classes though....swimming , watercolour painting,  sewing, origami and acrobatics !",,main,Graduated College,1022613,1667217900813,1667216878200,female,,229081,kidsActivities,10,main
80,49,jobCenter-office,,teacher,,teacher,Graduated College,1022613,1667217900813,1667216878200,female,,14767,jobCenter,11,filler
83,42,petAdoption-hamster,taciturn,We do not have any hamsters at the moment.,,main,Higher degree,249186,1667218497844,1667218248658,male,English,31604,petAdoption,1,main
83,42,dutyFree-sweets,taciturn,"We don't sell cookies, sorry.",,main,Higher degree,249186,1667218497844,1667218248658,male,English,15927,dutyFree,2,main
83,42,carRental-moving,,motorcycle,,motorcycle,Higher degree,249186,1667218497844,1667218248658,male,English,15856,carRental,3,filler
83,42,furniture-outdoors,taciturn,"Sorry, we don't have a deck chair.",,main,Higher degree,249186,1667218497844,1667218248658,male,English,40897,furniture,4,main
83,42,electronics-console,taciturn,"We have no PlayStations in stock, sorry.",,main,Higher degree,249186,1667218497844,1667218248658,male,English,17022,electronics,5,main
83,42,movie-western,taciturn,We're not showing any Western's at the moment.,,main,Higher degree,249186,1667218497844,1667218248658,male,English,20146,movie,6,main
83,42,plants-flowers,taciturn,"We haven't, sorry.",,main,Higher degree,249186,1667218497844,1667218248658,male,English,17376,plants,7,main
83,42,touristInfo-clubbing,taciturn,There's no electronic music in town today.,,main,Higher degree,249186,1667218497844,1667218248658,male,English,22719,touristInfo,8,main
83,42,music-softrock,,classic,,classic,Higher degree,249186,1667218497844,1667218248658,male,English,6616,music,9,filler
83,42,airport-europe-UPDATED,,London,,London,Higher degree,249186,1667218497844,1667218248658,male,English,11344,airport,10,filler
83,42,bar-tea,taciturn,"We don't serve sweet tea, sorry.",,main,Higher degree,249186,1667218497844,1667218248658,male,English,15024,bar,11,main
90,40,furniture-indoors,other,"Unfortunately not, but we do have other items on display. ",,main,Graduated College,454429,1667218707469,1667218253040,female,English ,69455,furniture,1,main
90,40,music-hardrock,,classic,,classic,Graduated College,454429,1667218707469,1667218253040,female,English ,17619,music,2,filler
90,40,disney-action,taciturn,Unfortunately Superman isn't available today. ,,main,Graduated College,454429,1667218707469,1667218253040,female,English ,30159,disney,3,main
90,40,carRental-fun,,motorcycle ,,motorcycle,Graduated College,454429,1667218707469,1667218253040,female,English ,17024,carRental,4,filler
90,40,electronics-laptop,competitor,"Unfortunately not, but we do have a MacBook Air. ",,main,Graduated College,454429,1667218707469,1667218253040,female,English ,75698,electronics,5,main
90,40,kidsActivities-crafts,other,"Unfortunately not, but we have other classes you may be interested in. ",,main,Graduated College,454429,1667218707469,1667218253040,female,English ,38318,kidsActivities,6,main
90,40,plants-green,other,"Unfortunately not, but I've got other flowers and plants if you want to take a look? ",,main,Graduated College,454429,1667218707469,1667218253040,female,English ,48092,plants,7,main
90,40,art-painting,,sculpture,,sculpture,Graduated College,454429,1667218707469,1667218253040,female,English ,17776,art,8,filler
90,40,gym-yoga,competitor,"Unfortunately not, but we do have a plates class if that's of any interest? ",,main,Graduated College,454429,1667218707469,1667218253040,female,English ,35613,gymActivities,9,main
90,40,cafe-pie,competitor,"Unfortunately not, but we do have raspberry pie. ",,main,Graduated College,454429,1667218707469,1667218253040,female,English ,21690,cafe,10,main
90,40,movie-fantasy,other,"Unfortunately not, but there are other options available if you wanted to try something else. ",,main,Graduated College,454429,1667218707469,1667218253040,female,English ,39183,movie,11,main
88,33,dutyFree-sweets,competitor,We sell gingerbread if that's any good.,,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,41613,dutyFree,1,main
88,33,furniture-outdoors,taciturn,No sorry we don't have a deck chair,,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,17457,furniture,2,main
88,33,plants-flowers,competitor/other,"No sorry, but I have tulips!",,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,42053,plants,3,main
88,33,books-fantasy,taciturn,"No sorry we don't sell fantasy novels.
",,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,28144,books,4,main
88,33,jobCenter-engineer,,Teacher,,teacher,Graduated High-school,351454,1667218614550,1667218263096,female,English,20395,jobCenter,5,filler
88,33,gym-boxing,competitor,We offer kickboxing classes if that's any good?,,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,20699,gymActivities,6,main
88,33,waterSport-muscle,competitor,"No sorry we don't rent canoes, but I can offer you a kayak instead if that would work?",,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,40791,waterSport,7,main
88,33,touristInfo-clubbing,competitor/other,"I don't believe there is, but there is a club with a hip hop DJ.  Otherwise there is a rock concert, live jazz, street performers or a circus show if any of those interest you instead.",,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,70604,touristInfo,8,main
88,33,movie-western,other,"No sorry we aren't playing a western today, but we have lots of other films on offer if something else would be of interest?",,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,26119,movie,9,main
88,33,carRental-moving,,motorcycle,,motorcycle,Graduated High-school,351454,1667218614550,1667218263096,female,English,10601,carRental,10,filler
88,33,airport-europe-UPDATED,,London,,London,Graduated High-school,351454,1667218614550,1667218263096,female,English,9552,airport,11,filler
89,51,furniture-outdoors,other,No i have none in stock but I do have these other chairs.,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,47715,furniture,1,main
89,51,carRental-moving,,motorcycle,,motorcycle,Graduated High-school,403735,1667218643971,1667218240236,male,English,33223,carRental,2,filler
89,51,art-drawing,,sculpture,,sculpture,Graduated High-school,403735,1667218643971,1667218240236,male,English,22544,art,3,filler
89,51,touristInfo-clubbing,competitor,No but you make like the hip hop dj event,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,48541,touristInfo,4,main
89,51,music-softrock,,classic,,classic,Graduated High-school,403735,1667218643971,1667218240236,male,English,7632,music,5,filler
89,51,bar-tea,competitor,No but can I interest you in some homemade lemonade,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,38127,bar,6,main
89,51,waterSport-muscle,yes,Yes we have kayaks,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,34603,waterSport,7,main
89,51,friendsActivities-videoEntertainment,sameCategory,No but I have a wii & playstation,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,34165,friendsActivities,8,main
89,51,bookingAgency-highClassAccommodation,other,No but we do have other options,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,41255,bookingAgency,9,main
89,51,kidsActivities-sports,sameCategory,No but we do have dancing & acrobatics classes,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,51076,kidsActivities,10,main
89,51,zoo-reptiles,other,No but there are other animals to see,,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,26619,zoo,11,main
92,62,petAdoption-hamster,sameCategory,No I'm sorry but we do have some beautiful gerbils and mice.,,main,Graduated College,520701,1667218817681,1667218296980,female,English,74520,petAdoption,1,main
92,62,disney-princess,other,Not today but we have lots of other great characters.,,main,Graduated College,520701,1667218817681,1667218296980,female,English,47783,disney,2,main
92,62,bookingAgency-highClassAccommodation,competitor,We have a suite in a four star or a luxury lodge.,,main,Graduated College,520701,1667218817681,1667218296980,female,English,83652,bookingAgency,3,main
92,62,touristInfo-clubbing,competitor,we do have a club event with a hip hop dj,,main,Graduated College,520701,1667218817681,1667218296980,female,English,68653,touristInfo,4,main
92,62,cafe-pizza,competitor,Yes we have a cheese pizza.,,main,Graduated College,520701,1667218817681,1667218296980,female,English,35283,cafe,5,main
92,62,music-softrock,,classic,,classic,Graduated College,520701,1667218817681,1667218296980,female,English,15996,music,6,filler
92,62,bar-tea,sameCategory,No I'm sorry we could offer soda or lemonade.,,main,Graduated College,520701,1667218817681,1667218296980,female,English,56466,bar,7,main
92,62,gym-boxing,competitor,We do have kick boxing,,main,Graduated College,520701,1667218817681,1667218296980,female,English,30990,gymActivities,8,main
92,62,clothing-winter,sameCategory,No but we have some sweatshirts or cosy hoodies.,,main,Graduated College,520701,1667218817681,1667218296980,female,English,38195,clothing,9,main
92,62,carRental-moving,,motorcycle,,motorcycle,Graduated College,520701,1667218817681,1667218296980,female,English,13577,carRental,10,filler
92,62,jobCenter-engineer,,teacher,,teacher,Graduated College,520701,1667218817681,1667218296980,female,English,16503,jobCenter,11,filler
96,51,plants-green,taciturn,No sorry I do not.,,main,Graduated College,736212,1667218998155,1667218261943,male,English,44448,plants,1,main
96,51,bookingAgency-lowClassAccommodation,sameCategory,No sorry there isn't but I there is a room available in a B and B or there is the option to couch surf.,,main,Graduated College,736212,1667218998155,1667218261943,male,English,94498,bookingAgency,2,main
96,51,clothing-beach,competitor,No sorry we don't have Hawaiian shirts just normal T Shirts,,main,Graduated College,736212,1667218998155,1667218261943,male,English,61936,clothing,3,main
96,51,books-romance,sameCategory,Sorry no but we do have romance novels and books for french love letters.,,main,Graduated College,736212,1667218998155,1667218261943,male,English,59342,books,4,main
96,51,dutyFree-smokes,competitor,Sorry no but do have cigarettes,,main,Graduated College,736212,1667218998155,1667218261943,male,English,41205,dutyFree,5,main
96,51,bar-whiteWine,competitor,Sorry no but what about a Chardonnay instead.,,main,Graduated College,736212,1667218998155,1667218261943,male,English,49270,bar,6,main
96,51,petAdoption-dogs,sameCategory,"Sorry no, but what about a Golden Retriever or a chocolate Lab?",,main,Graduated College,736212,1667218998155,1667218261943,male,English,69487,petAdoption,7,main
96,51,gym-yoga,taciturn,Sorry no we don't,,main,Graduated College,736212,1667218998155,1667218261943,male,English,28868,gymActivities,8,main
96,51,music-hardrock,,classic,,classic,Graduated College,736212,1667218998155,1667218261943,male,English,40853,music,9,filler
96,51,jobCenter-office,,teacher,,teacher,Graduated College,736212,1667218998155,1667218261943,male,English,27043,jobCenter,10,filler
96,51,airport-usa,,London,,London,Graduated College,736212,1667218998155,1667218261943,male,English,40653,airport,11,filler
93,41,electronics-console,taciturn,I'm afraid not.,,main,Higher degree,592941,1667218861635,1667218268694,male,,36938,electronics,1,main
93,41,jobCenter-engineer,,teacher,,teacher,Higher degree,592941,1667218861635,1667218268694,male,,16601,jobCenter,2,filler
93,41,carRental-moving,,motorcycle,,motorcycle,Higher degree,592941,1667218861635,1667218268694,male,,109429,carRental,3,filler
93,41,touristInfo-clubbing,yes,there is indeed,,main,Higher degree,592941,1667218861635,1667218268694,male,,52868,touristInfo,4,main
93,41,cafe-pizza,yes,we do!,,main,Higher degree,592941,1667218861635,1667218268694,male,,15733,cafe,5,main
93,41,dutyFree-sweets,other,we have something similar,,main,Higher degree,592941,1667218861635,1667218268694,male,,24487,dutyFree,6,main
93,41,plants-flowers,other,"I'm afraid I don't, but I have other flowers",,main,Higher degree,592941,1667218861635,1667218268694,male,,79153,plants,7,main
93,41,bookingAgency-highClassAccommodation,other,"We have something similar, but not in 5 star",,main,Higher degree,592941,1667218861635,1667218268694,male,,41517,bookingAgency,8,main
93,41,gym-boxing,competitor,We offer kickboxing classes if that is any good for you?,,main,Higher degree,592941,1667218861635,1667218268694,male,,65777,gymActivities,9,main
93,41,music-softrock,,classic,,classic,Higher degree,592941,1667218861635,1667218268694,male,,10898,music,10,filler
93,41,waterSport-muscle,other,We dont rent canoes but we do have other options,,main,Higher degree,592941,1667218861635,1667218268694,male,,92745,waterSport,11,main
95,34,music-softrock,,classic,,classic,Higher degree,648267,1667218918202,1667218269935,female,English,37436,music,1,filler
95,34,books-fantasy,sameCategory,"Hello, we currently have science fiction and adventure novels which may interest you? ",,main,Higher degree,648267,1667218918202,1667218269935,female,English,98760,books,2,main
95,34,zoo-reptiles,other,"There are no chameleons, there’s lots of other animals to see though! ",,main,Higher degree,648267,1667218918202,1667218269935,female,English,76616,zoo,3,main
95,34,disney-princess,other,"Unfortunately Moana is away fishing today, is there any other people you would like to meet? ",,main,Higher degree,648267,1667218918202,1667218269935,female,English,59807,disney,4,main
95,34,airport-europe-UPDATED,,London,,London,Higher degree,648267,1667218918202,1667218269935,female,English,26136,airport,5,filler
95,34,kidsActivities-sports,sameCategory,"No but there’s an athletics or dancing, would you be interested in those? ",,main,Higher degree,648267,1667218918202,1667218269935,female,English,68411,kidsActivities,6,main
95,34,friendsActivities-videoEntertainment,sameCategory,No I have a Playstation and a wii though ,,main,Higher degree,648267,1667218918202,1667218269935,female,English,49030,friendsActivities,7,main
95,34,art-drawing,,sculpture,,sculpture,Higher degree,648267,1667218918202,1667218269935,female,English,28564,art,8,filler
95,34,petAdoption-hamster,sameCategory,"No we do not, only mice and gerbils at the moment sorry. ",,main,Higher degree,648267,1667218918202,1667218269935,female,English,43128,petAdoption,9,main
95,34,cafe-pizza,competitor,"We have a cheese pizza, do you eat dairy? ",,main,Higher degree,648267,1667218918202,1667218269935,female,English,40623,cafe,10,main
95,34,bar-tea,sameCategory,"No but we have iced coffee, soda and home made lemonade which is lovely, would you like any of those? ",,main,Higher degree,648267,1667218918202,1667218269935,female,English,58807,bar,11,main
97,36,kidsActivities-crafts,sameCategory,"No there is not, but have a look at the other classes on offer. I think you might enjoy the sewing or oragami?
",,main,Higher degree,846575,1667219127224,1667218280649,female,English ,96367,kidsActivities,1,main
97,36,touristInfo-childTheatre,competitor,There is a circus performance today that the kids will love!,,main,Higher degree,846575,1667219127224,1667218280649,female,English ,45439,touristInfo,2,main
97,36,music-hardrock,,classic ,,classic,Higher degree,846575,1667219127224,1667218280649,female,English ,28356,music,3,filler
97,36,gym-yoga,competitor,No but we have Pilates classes that are great for strength and core.,,main,Higher degree,846575,1667219127224,1667218280649,female,English ,49468,gymActivities,4,main
97,36,carRental-fun,,motorcycle ,,motorcycle,Higher degree,846575,1667219127224,1667218280649,female,English ,113415,carRental,5,filler
97,36,art-painting,,Sculpture ,,sculpture,Higher degree,846575,1667219127224,1667218280649,female,English ,27979,art,6,filler
97,36,bookingAgency-lowClassAccommodation,other,No but there are other options that will probably suit your budget.,,main,Higher degree,846575,1667219127224,1667218280649,female,English ,217947,bookingAgency,7,main
97,36,furniture-indoors,other,"No, but please have a look at some of the other options available.",,main,Higher degree,846575,1667219127224,1667218280649,female,English ,34197,furniture,8,main
97,36,cafe-pie,competitor,We have this delicious raspberry pie!,,main,Higher degree,846575,1667219127224,1667218280649,female,English ,38975,cafe,9,main
97,36,books-romance,competitor,We have this amazing book of love letters written in France.,,main,Higher degree,846575,1667219127224,1667218280649,female,English ,32327,books,10,main
97,36,waterSport-motor,competitor,We have some great water skis to hire.,,main,Higher degree,846575,1667219127224,1667218280649,female,English ,90625,waterSport,11,main
103,40,kidsActivities-sports,taciturn,No there isn't,,main,Graduated College,362617,1667240241654,1667239879037,female,English,47683,kidsActivities,1,main
103,40,plants-flowers,taciturn,"No I don't, sorry.",,main,Graduated College,362617,1667240241654,1667239879037,female,English,105679,plants,2,main
103,40,books-fantasy,taciturn,"No, I don't. Sorry",,main,Graduated College,362617,1667240241654,1667239879037,female,English,21377,books,3,main
103,40,zoo-reptiles,taciturn,we don't have chameleons,,main,Graduated College,362617,1667240241654,1667239879037,female,English,20178,zoo,4,main
103,40,bookingAgency-highClassAccommodation,taciturn,no there isn't,,main,Graduated College,362617,1667240241654,1667239879037,female,English,23317,bookingAgency,5,main
103,40,art-drawing,,sculpture,,sculpture,Graduated College,362617,1667240241654,1667239879037,female,English,17947,art,6,filler
103,40,gym-boxing,taciturn,no we don't,,main,Graduated College,362617,1667240241654,1667239879037,female,English,13453,gymActivities,7,main
103,40,bar-tea,taciturn,no we don't,,main,Graduated College,362617,1667240241654,1667239879037,female,English,13865,bar,8,main
103,40,airport-europe-UPDATED,,London,,London,Graduated College,362617,1667240241654,1667239879037,female,English,7834,airport,9,filler
103,40,jobCenter-engineer,,teacher,,teacher,Graduated College,362617,1667240241654,1667239879037,female,English,23169,jobCenter,10,filler
103,40,touristInfo-clubbing,competitor,"no, just a club event with a hip hop DJ",,main,Graduated College,362617,1667240241654,1667239879037,female,English,46383,touristInfo,11,main
104,20,electronics-laptop,taciturn,No I do not,,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,18196,electronics,1,main
104,20,clothing-beach,taciturn,No I do not ,,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,14390,clothing,2,main
104,20,art-painting,,Sculpture ,,sculpture,Graduated High-school,366256,1667240244906,1667239878650,female,English,33409,art,3,filler
104,20,waterSport-motor,taciturn,No we don't ,,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,49136,waterSport,4,main
104,20,cafe-pie,taciturn,No we don't,,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,89137,cafe,5,main
104,20,furniture-indoors,taciturn,No we don't ,,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,9960,furniture,6,main
104,20,gym-yoga,taciturn,No we dont,,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,62401,gymActivities,7,main
104,20,airport-usa,,"London
",,London,Graduated High-school,366256,1667240244906,1667239878650,female,English,16858,airport,8,filler
104,20,carRental-fun,,"Motorcycle
",,motorcycle,Graduated High-school,366256,1667240244906,1667239878650,female,English,7667,carRental,9,filler
104,20,kidsActivities-crafts,taciturn,"No
",,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,11010,kidsActivities,10,main
104,20,petAdoption-dogs,taciturn,"No
",,main,Graduated High-school,366256,1667240244906,1667239878650,female,English,9309,petAdoption,11,main
105,37,bar-whiteWine,competitor,"No sorry, but we do have Chardonnay",,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,29781,bar,1,main
105,37,music-hardrock,,classic,,classic,Graduated High-school,485605,1667240354134,1667239868529,female,English,16512,music,2,filler
105,37,dutyFree-smokes,competitor,"Only cigarettes, sorry",,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,48153,dutyFree,3,main
105,37,gym-yoga,other,"No, sorry, but here is what we do offer",,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,29495,gymActivities,4,main
105,37,waterSport-motor,taciturn,No sorry,,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,76399,waterSport,5,main
105,37,airport-usa,,London,,London,Graduated High-school,485605,1667240354134,1667239868529,female,English,20696,airport,6,filler
105,37,petAdoption-dogs,sameCategory,"Currently no Dalmatians, but we do have some gorgeous chocolate labs and golden retrievers.  ",,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,74128,petAdoption,7,main
105,37,clothing-beach,sameCategory,"Sorry no Hawaiian shirts at the minute, but please check out our stock of t-shits and tank tops, I am sure there will be something you will like. ",,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,74431,clothing,8,main
105,37,jobCenter-office,,teacher,,teacher,Graduated High-school,485605,1667240354134,1667239868529,female,English,11431,jobCenter,9,filler
105,37,movie-fantasy,taciturn,"No not today, sorry",,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,22575,movie,10,main
105,37,disney-action,sameCategory,"Not today sorry, but Spiderman, Batman and Hulk are here",,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,47329,disney,11,main
108,29,waterSport-motor,yes,"Yes, we do.",,main,Graduated College,562006,1667240441550,1667239879544,female,English,35962,waterSport,1,main
