settingName,itemQuestion,response_option,response_option_str,global_category
chair,a chair,ladder,ladder,competitor_c1
chair,a chair,stool,stool,competitor_c2
chair,a chair,leatherrecliner,leather recliner,mostSimilar
chair,a chair,broom,broom,otherCategory
blanket,a blanket,sleepingbag,sleeping bag,competitor_c1
blanket,a blanket,pillow,pillow,mostSimilar
blanket,a blanket,carpet,carpet,otherCategory
blanket,a blanket,bubblewrap,bubble wrap,competitor_c2
box,a box,cakecontainer,cake container,competitor_c1
box,a box,carton,carton,mostSimilar
box,a box,ziplock,ziplock,competitor_c2
box,a box,tote,tote,otherCategory
sugar,sugar,sweetener,sweetener,competitor_c1
sugar,sugar,syrup,syrup,competitor_c2
sugar,sugar,honey,honey,mostSimilar
sugar,sugar,salt,salt,otherCategory
handkerchief,a handkerchief,bandaids,band aids,competitor_c1
handkerchief,a handkerchief,napkins,napkins,mostSimilar
handkerchief,a handkerchief,wetwipes,wet wipes,competitor_c2
handkerchief,a handkerchief,cell,cell,otherCategory
broom,a broom,vacuum,vacuum,competitor_c1
broom,a broom,handbrush,handbrush,mostSimilar
broom,a broom,shovel,shovel,competitor_c2
broom,a broom,lamp,lamp,otherCategory
sweatpants,sweatpants,pyjamas,pyjamas,competitor_c1
sweatpants,sweatpants,leggings,leggings,mostSimilar
sweatpants,sweatpants,shorts,shorts,competitor_c2
sweatpants,sweatpants,towel,towel,otherCategory
umbrella,an umbrella,sunscreen,sunscreen,competitor_c1
umbrella,an umbrella,tent,tent,otherCategory
umbrella,an umbrella,bikecover,bike cover,mostSimilar
umbrella,an umbrella,rainjacket,rain jacket,competitor_c2
postit,post-its,marker,marker,competitor_c1
postit,post-its,notebook,notebook,mostSimilar
postit,post-its,bookmarks,bookmarks,competitor_c2
postit,post-its,eraser,eraser,otherCategory
pot,a pot,cans,cans,competitor_c1
pot,a pot,ceramicplates,ceramic plates,otherCategory
pot,a pot,campingcookware,camping cookware,mostSimilar
pot,a pot,pans,pans,competitor_c2
towel,a towel,hairdryer,hair dryer,competitor_c1
towel,a towel,papertowels,paper towels,mostSimilar
towel,a towel,blanket,blanket,otherCategory
towel,a towel,dryer,dryer,competitor_c2
candy,candy,trailmix,trailmix,competitor_c1
candy,candy,soda,soda,otherCategory
candy,candy,chocolate,chocolate,mostSimilar
candy,candy,icecream,icecream,competitor_c2
bottle,a bottle,wateringcan,watering can,competitor_c1
bottle,a bottle,glass,glass,mostSimilar
bottle,a bottle,mug,mug,competitor_c2
bottle,a bottle,spoon,spoon,otherCategory