itemName,question,highProb_option,midProb_option,lowProb_option,context_begin,context_cont,answer_template,options_combined,prepped_context,condition,condition_context,context_qa
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",high_prior,The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:"
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",low_prior,The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:"
carshring,“Can I find a carshare around here?” The cashier replies:,Zipcar,Car2Go,CityCar,There are three major car-sharing apps in your town:,"It is common knowledge that Zipcar has the largest fleet, Car2Go has a mid-sized fleet and CityCar has only a few vehicles. Subscribing customers can use their service’s cars.",The cashier replies:,"Zipcar, Car2Go and CityCar.","There are three major car-sharing apps in your town: Zipcar, Car2Go and CityCar. It is common knowledge that Zipcar has the largest fleet, Car2Go has a mid-sized fleet and CityCar has only a few vehicles. Subscribing customers can use their service’s cars.",high_prior,"Carshares usually park in front of cinemas. Today, in front of the cinema, there are cars from all companies except the least common, CityCar. A person who just finished watching a movie walks up to the cinema ticket desk and asks:","There are three major car-sharing apps in your town: Zipcar, Car2Go and CityCar. It is common knowledge that Zipcar has the largest fleet, Car2Go has a mid-sized fleet and CityCar has only a few vehicles. Subscribing customers can use their service’s cars. Carshares usually park in front of cinemas. Today, in front of the cinema, there are cars from all companies except the least common, CityCar. A person who just finished watching a movie walks up to the cinema ticket desk and asks:"
carshring,“Can I find a carshare around here?” The cashier replies:,Zipcar,Car2Go,CityCar,There are three major car-sharing apps in your town:,"It is common knowledge that Zipcar has the largest fleet, Car2Go has a mid-sized fleet and CityCar has only a few vehicles. Subscribing customers can use their service’s cars.",The cashier replies:,"Zipcar, Car2Go and CityCar.","There are three major car-sharing apps in your town: Zipcar, Car2Go and CityCar. It is common knowledge that Zipcar has the largest fleet, Car2Go has a mid-sized fleet and CityCar has only a few vehicles. Subscribing customers can use their service’s cars.",low_prior,"Carshares usually park in front of cinemas. Today, in front of the cinema, there are cars from all companies except the most common, Zipcar. A person who just finished watching a movie walks up to the cinema ticket desk and asks:","There are three major car-sharing apps in your town: Zipcar, Car2Go and CityCar. It is common knowledge that Zipcar has the largest fleet, Car2Go has a mid-sized fleet and CityCar has only a few vehicles. Subscribing customers can use their service’s cars. Carshares usually park in front of cinemas. Today, in front of the cinema, there are cars from all companies except the most common, Zipcar. A person who just finished watching a movie walks up to the cinema ticket desk and asks:"
phoneRepair,“Is there a phone repair shop in the mall?” The cashier replies:,iPhones,Samsung phones,Google Pixels,There are three types of phones:,"It is common knowledge that iPhones are most popular, Samsung phones are moderately popular, and Google Pixels are very rare.",The cashier replies:,"iPhones, Samsung phones and Google Pixels.","There are three types of phones: iPhones, Samsung phones and Google Pixels. It is common knowledge that iPhones are most popular, Samsung phones are moderately popular, and Google Pixels are very rare.",high_prior,"There is a small repair shop at a big mall, which accepts all phones for repairs except the least frequent, Google Pixels. A customer asks a cashier at a store in the mall:","There are three types of phones: iPhones, Samsung phones and Google Pixels. It is common knowledge that iPhones are most popular, Samsung phones are moderately popular, and Google Pixels are very rare. There is a small repair shop at a big mall, which accepts all phones for repairs except the least frequent, Google Pixels. A customer asks a cashier at a store in the mall:"
phoneRepair,“Is there a phone repair shop in the mall?” The cashier replies:,iPhones,Samsung phones,Google Pixels,There are three types of phones:,"It is common knowledge that iPhones are most popular, Samsung phones are moderately popular, and Google Pixels are very rare.",The cashier replies:,"iPhones, Samsung phones and Google Pixels.","There are three types of phones: iPhones, Samsung phones and Google Pixels. It is common knowledge that iPhones are most popular, Samsung phones are moderately popular, and Google Pixels are very rare.",low_prior,"There is a small repair shop at a big mall, which accepts all phones for repairs except the most frequent, iPhones. A customer asks a cashier at a store in the mall:","There are three types of phones: iPhones, Samsung phones and Google Pixels. It is common knowledge that iPhones are most popular, Samsung phones are moderately popular, and Google Pixels are very rare. There is a small repair shop at a big mall, which accepts all phones for repairs except the most frequent, iPhones. A customer asks a cashier at a store in the mall:"
parking,“Do you have parking at the hotel?” The receptionist replies:,a garage for cars,parking for bikes,a landing platform for helicopters,There are parking options for three different types of vehicles:,"It is common knowledge that they differ in terms of how often hotels offer these types of parking: most hotels have garages, less hotels have bike parking, and only very few hotels have platforms for helicopters.",The receptionist replies:,"a garage for cars, parking for bikes and a landing platform for helicopters.","There are parking options for three different types of vehicles: a garage for cars, parking for bikes and a landing platform for helicopters. It is common knowledge that they differ in terms of how often hotels offer these types of parking: most hotels have garages, less hotels have bike parking, and only very few hotels have platforms for helicopters.",high_prior,Hotel Atlantis provides all types of parking except the least common helicopter landing platform. A guest calls and asks:,"There are parking options for three different types of vehicles: a garage for cars, parking for bikes and a landing platform for helicopters. It is common knowledge that they differ in terms of how often hotels offer these types of parking: most hotels have garages, less hotels have bike parking, and only very few hotels have platforms for helicopters. Hotel Atlantis provides all types of parking except the least common helicopter landing platform. A guest calls and asks:"
parking,“Do you have parking at the hotel?” The receptionist replies:,a garage for cars,parking for bikes,a landing platform for helicopters,There are parking options for three different types of vehicles:,"It is common knowledge that they differ in terms of how often hotels offer these types of parking: most hotels have garages, less hotels have bike parking, and only very few hotels have platforms for helicopters.",The receptionist replies:,"a garage for cars, parking for bikes and a landing platform for helicopters.","There are parking options for three different types of vehicles: a garage for cars, parking for bikes and a landing platform for helicopters. It is common knowledge that they differ in terms of how often hotels offer these types of parking: most hotels have garages, less hotels have bike parking, and only very few hotels have platforms for helicopters.",low_prior,Hotel Atlantis provides all types of parking except the most common car garage. A guest calls in and asks:,"There are parking options for three different types of vehicles: a garage for cars, parking for bikes and a landing platform for helicopters. It is common knowledge that they differ in terms of how often hotels offer these types of parking: most hotels have garages, less hotels have bike parking, and only very few hotels have platforms for helicopters. Hotel Atlantis provides all types of parking except the most common car garage. A guest calls in and asks:"
foodCourt,“Are there fast food joints with vegan options at the mall?” The cashier replies:,Taco Bell,McDonalds,Shake Shack,There are three prominent fast food joints:,"It is common knowledge that Taco Bell almost always has vegan options, McDonalds sometimes has limited edition vegan options, and Shake Shack only offers vegan options very rarely.",The cashier replies:,"Taco Bell, McDonalds and Shake Shack.","There are three prominent fast food joints: Taco Bell, McDonalds and Shake Shack. It is common knowledge that Taco Bell almost always has vegan options, McDonalds sometimes has limited edition vegan options, and Shake Shack only offers vegan options very rarely.",high_prior,A large shopping mall has a food court which has all fast food joints except the least vegan-friendly Shake Shack. A customer asks the cashier at a store:,"There are three prominent fast food joints: Taco Bell, McDonalds and Shake Shack. It is common knowledge that Taco Bell almost always has vegan options, McDonalds sometimes has limited edition vegan options, and Shake Shack only offers vegan options very rarely. A large shopping mall has a food court which has all fast food joints except the least vegan-friendly Shake Shack. A customer asks the cashier at a store:"
foodCourt,“Are there fast food joints with vegan options at the mall?” The cashier replies:,Taco Bell,McDonalds,Shake Shack,There are three prominent fast food joints:,"It is common knowledge that Taco Bell almost always has vegan options, McDonalds sometimes has limited edition vegan options, and Shake Shack only offers vegan options very rarely.",The cashier replies:,"Taco Bell, McDonalds and Shake Shack.","There are three prominent fast food joints: Taco Bell, McDonalds and Shake Shack. It is common knowledge that Taco Bell almost always has vegan options, McDonalds sometimes has limited edition vegan options, and Shake Shack only offers vegan options very rarely.",low_prior,A large shopping mall has a food court which has all fast food joints except the most vegan-friendly Taco Bell. A customer asks the cashier at a store:,"There are three prominent fast food joints: Taco Bell, McDonalds and Shake Shack. It is common knowledge that Taco Bell almost always has vegan options, McDonalds sometimes has limited edition vegan options, and Shake Shack only offers vegan options very rarely. A large shopping mall has a food court which has all fast food joints except the most vegan-friendly Taco Bell. A customer asks the cashier at a store:"
airplaneJuice,“Do you have juice?” The flight attendant replies:,tomato juice,orange juice,green juice,There are three types of juice offered during flights:,"It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",The flight attendant replies:,"tomato juice, orange juice and green juice.","There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",high_prior,A long-distance flight by Delta offers all types of juice except the least commonly ordered green juice. A passenger asks the flight attendant:,"There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally. A long-distance flight by Delta offers all types of juice except the least commonly ordered green juice. A passenger asks the flight attendant:"
airplaneJuice,“Do you have juice?” The flight attendant replies:,tomato juice,orange juice,green juice,There are three types of juice offered during flights:,"It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",The flight attendant replies:,"tomato juice, orange juice and green juice.","There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",low_prior,A long-distance flight by Delta offers all types of juice except the most commonly ordered tomato juice. A passenger asks the flight attendant:,"There are three types of juice offered during flights: tomato juice, orange juice and green juice. It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally. A long-distance flight by Delta offers all types of juice except the most commonly ordered tomato juice. A passenger asks the flight attendant:"
coffeeShop,“Can I get a decaf coffee nearby?” The receptionist replies:,Starbucks,McCafé,Café Nero,There are three coffee shop chains in your city:,"It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",The receptionist replies:,"Starbucks, McCafé and Café Nero.","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",high_prior,"A big conference center is located in the city center. There are shops of all chains nearby except for Café Nero, the shop with the fewest decaf options. A visitor asks at the front desk:","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf. A big conference center is located in the city center. There are shops of all chains nearby except for Café Nero, the shop with the fewest decaf options. A visitor asks at the front desk:"
coffeeShop,“Can I get a decaf coffee nearby?” The receptionist replies:,Starbucks,McCafé,Café Nero,There are three coffee shop chains in your city:,"It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",The receptionist replies:,"Starbucks, McCafé and Café Nero.","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.",low_prior,"A big conference center is located in the city center. There are shops of all chains nearby except for Starbucks, the shop with the most decaf options. A visitor asks at the front desk:","There are three coffee shop chains in your city: Starbucks, McCafé and Café Nero. It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf. A big conference center is located in the city center. There are shops of all chains nearby except for Starbucks, the shop with the most decaf options. A visitor asks at the front desk:"
socialMedia,“Can I connect with you on social media?” Your friend replies:,Facebook,Instagram,Threads,There are three major social media platforms:,"It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",Your friend replies:,"Facebook, Instagram and Threads.","There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",high_prior,Your well-connected friend uses all social media platforms except the least widespread Threads. A new acquaintance at a party comes up to your friend and asks:,"There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users. Your well-connected friend uses all social media platforms except the least widespread Threads. A new acquaintance at a party comes up to your friend and asks:"
socialMedia,“Can I connect with you on social media?” Your friend replies:,Facebook,Instagram,Threads,There are three major social media platforms:,"It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",Your friend replies:,"Facebook, Instagram and Threads.","There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",low_prior,Your well-connected friend uses all social media platforms except the most widespread Facebook. A new acquaintance at a party comes up to your friend and asks:,"There are three major social media platforms: Facebook, Instagram and Threads. It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users. Your well-connected friend uses all social media platforms except the most widespread Facebook. A new acquaintance at a party comes up to your friend and asks:"
dricersLicense,“Do you have small rental vehicles for getting around town?” The receptionist replies:,electric scooters,mopeds,electric bikes,There are three micro mobility options in your town:,"It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",The receptionist replies:,"electric scooters, mopeds and electric bikes.","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",high_prior,"Hotel Atlantis offers all the mobility options except the most strictly licensed option, electric bikes. A guest asks at the front desk:","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes. Hotel Atlantis offers all the mobility options except the most strictly licensed option, electric bikes. A guest asks at the front desk:"
dricersLicense,“Do you have small rental vehicles for getting around town?” The receptionist replies:,electric scooters,mopeds,electric bikes,There are three micro mobility options in your town:,"It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",The receptionist replies:,"electric scooters, mopeds and electric bikes.","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.",low_prior,"Hotel Atlantis offers all the mobility options except the least strictly licensed option, electric scooters. A guest asks at the front desk:","There are three micro mobility options in your town: electric scooters, mopeds and electric bikes. It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes. Hotel Atlantis offers all the mobility options except the least strictly licensed option, electric scooters. A guest asks at the front desk:"
videoGames,“Do you sell video games?” The salesperson replies:,PlayStation,Wii,GameCube,People generally play video games on three consoles in your town:,"It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",The salesperson replies:,"PlayStation, Wii and GameCube.","People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",high_prior,An electronics store carries games for all consoles except the least common GameCube. A customer walks in and asks:,"People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users. An electronics store carries games for all consoles except the least common GameCube. A customer walks in and asks:"
videoGames,“Do you sell video games?” The salesperson replies:,PlayStation,Wii,GameCube,People generally play video games on three consoles in your town:,"It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",The salesperson replies:,"PlayStation, Wii and GameCube.","People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",low_prior,An electronics store carries games for all consoles except the most common PlayStation. A customer walks in and asks:,"People generally play video games on three consoles in your town: PlayStation, Wii and GameCube. It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users. An electronics store carries games for all consoles except the most common PlayStation. A customer walks in and asks:"
